,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
22,23,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),99%,0.0,0.008,256,,38.56,32.76,16.11,44.5,32.39,0.24,11.63,71.08,39.08,28.63,51.2
23,24,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),100%,0.019,0.035,512,512.0,38.84,33.61,24.8,40.59,30.42,-3.22,12.4,71.52,39.16,34.7,52.16
24,25,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),99%,0.003,0.029,312,2048.0,38.77,34.27,42.63,41.8,29.26,-2.28,15.89,73.2,38.92,21.26,47.79
25,26,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),99%,0.0,0.004,128,,37.82,32.22,14.59,43.71,32.21,0.61,11.69,70.8,38.54,27.23,50.57
26,27,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),99%,0.0,0.008,256,,37.23,31.38,14.51,44.97,29.12,-0.13,11.53,70.97,38.11,24.74,48.58
27,28,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),99%,0.003,0.029,312,2048.0,34.81,30.2,22.65,41.17,29.16,-0.09,15.27,69.6,34.58,14.35,45.13
28,29,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),100%,0.017,0.033,512,8192.0,35.22,29.11,12.61,43.81,27.31,-0.75,11.87,70.76,27.61,13.45,55.34
29,30,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),99%,0.003,0.012,312,512.0,33.85,28.37,17.08,43.85,28.74,-0.89,13.86,67.0,33.18,12.09,40.44
30,31,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),99%,0.0,0.002,64,,36.27,30.97,12.19,42.25,31.0,0.59,11.53,70.43,37.38,23.99,49.34
31,32,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),⚠️ NA,,0.099,1024,512.0,31.06,26.58,12.65,38.87,23.89,0.92,12.14,64.88,32.09,10.63,43.16
32,33,baseline-random-encoder,100%,,,32,,18.79,15.92,0.38,30.11,21.2,0.45,11.2,52.78,25.14,1.08,0.92
33,34,[mdbr-leaf-mt](https://huggingface.co/MongoDB/mdbr-leaf-mt),100%,0.011,0.023,1024,512.0,,,,69.9,50.33,,,91.01,,47.35,82.67
34,35,[granite-embedding-small-english-r2](https://huggingface.co/ibm-granite/granite-embedding-small-english-r2),96%,0.028,0.048,384,8192.0,,,,62.74,50.15,,,88.85,,50.49,75.35
35,36,[mini-gte](https://huggingface.co/prdev/mini-gte),100%,0.043,0.066,768,512.0,,,,76.14,51.55,,,90.46,,50.65,81.15
36,37,[miniac-embed](https://huggingface.co/ManiacLabs/miniac-embed),100%,0.021,0.033,1024,512.0,,,,69.24,49.73,,,90.92,,42.54,82.45
37,38,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,0.011,0.023,384,512.0,,,8.78,54.96,19.79,,2.4,79.76,75.46,35.4,67.27
38,39,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),99%,0.0,0.031,1024,,,,,63.65,35.93,,,86.7,,31.85,71.44
39,40,[potion-base-32M](https://huggingface.co/minishlab/potion-base-32M),99%,0.0,0.032,512,,,,,70.04,45.3,,,87.68,,32.79,73.48
40,41,[potion-retrieval-32M](https://huggingface.co/minishlab/potion-retrieval-32M),99%,0.0,0.032,512,,,,,66.01,45.74,,,87.26,,34.42,72.62
41,42,[bge-small-en](https://huggingface.co/BAAI/bge-small-en),99%,0.022,0.033,512,512.0,,,,73.0,,,,90.19,,50.73,82.48
42,43,[e5-small-trm-nl](https://huggingface.co/clips/e5-small-trm-nl),99%,0.022,0.041,384,512.0,,,,58.55,38.87,,5.04,,87.09,90.56,
43,44,[m2v-dfm-large](https://huggingface.co/rasgaard/m2v-dfm-large),100%,0.0,0.023,256,,,,38.02,53.64,5.68,,,,,33.45,
44,45,[model2vecdk-stem](https://huggingface.co/andersborges/model2vecdk-stem),100%,0.0,0.049,256,,,,40.21,45.06,5.15,,,,,25.56,
45,46,[Dmeta-embedding-zh-small](https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small/),⚠️ NA,0.058,0.074,768,1024.0,,,,48.95,,,,53.68,66.11,75.63,79.09
46,47,[model2vecdk](https://huggingface.co/andersborges/model2vecdk),100%,0.0,0.048,256,,,,40.57,45.2,4.85,,,,,21.05,
47,48,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),100%,0.023,0.033,512,512.0,,,,46.9,,,,49.13,,30.68,76.73
48,49,[gte-small-zh](https://huggingface.co/thenlper/gte-small-zh),⚠️ NA,0.019,0.03,1024,512.0,,,,47.0,,,,48.95,65.39,61.65,76.51
49,50,[ruri-v3-70m](https://huggingface.co/cl-nagoya/ruri-v3-70m),99%,0.031,0.07,256,8192.0,,,,73.6,47.85,,,,,,75.85
50,51,[rubert-mini-frida](https://huggingface.co/sergeyzh/rubert-mini-frida),100%,0.006,0.032,312,2048.0,,,,64.66,,,57.04,60.36,71.12,,
51,52,[ruri-v3-30m](https://huggingface.co/cl-nagoya/ruri-v3-30m),100%,0.01,0.037,256,8192.0,,,,70.02,45.7,,,,,,81.4
